,,,Sum of DATA YTD Enrolments,,,,,Sum of DATA YTD Commencements,,,,
Year,Month,State,Higher Education,VET,Schools,ELICOS,Non-award,Higher Education,VET,Schools,ELICOS,Non-award
2019,Oct,WA,"24,815","14,841",852,"8,844","2,381","10,660","8,807",448,"6,416","2,011"
2019,Oct,TAS,"6,617","6,844",394,741,231,"2,563","4,458",224,613,206
2019,Oct,NT,"1,855","1,137",107,295,63,658,816,32,202,48
2019,Oct,ACT,"13,296","2,930",526,"1,034",781,"4,986","1,865",125,666,505
2019,Oct Total,,"433,161","266,335","25,382","140,683","47,102","169,482","153,367","11,790","101,497","34,615"
2019,Nov,NSW,"157,664","116,078","5,959","60,437","21,190","61,169","65,594","3,259","45,376","15,095"
2019,Nov,VIC,"155,466","83,996","8,987","44,036","12,404","62,471","52,096","2,618","32,073","9,212"
2019,Nov,QLD,"56,366","42,017","5,767","30,789","7,660","23,542","24,628","3,612","22,826","6,088"
2019,Nov,SA,"24,209","9,166","2,822","4,933","2,926","10,560","5,777","1,504","3,751","1,984"
2019,Nov,WA,"24,918","15,252",854,"9,493","2,382","10,763","9,218",450,"7,065","2,012"
2019,Nov,TAS,"6,641","7,304",394,789,231,"2,587","4,918",224,661,206
2019,Nov,NT,"1,869","1,256",107,346,63,672,935,32,253,48
2019,Nov,ACT,"13,313","3,058",526,"1,083",781,"5,003","1,993",125,715,505
2019,Nov Total,,"440,446","278,127","25,416","151,906","47,637","176,767","165,159","11,824","112,720","35,150"
2019,Dec,NSW,"157,823","116,736","5,963","62,557","21,765","61,328","66,252","3,263","47,496","15,670"
2019,Dec,VIC,"155,560","85,194","8,989","45,086","12,411","62,565","53,294","2,620","33,123","9,219"
2019,Dec,QLD,"56,381","42,963","5,768","31,790","7,660","23,557","25,574","3,613","23,827","6,088"
2019,Dec,SA,"24,218","9,324","2,851","5,010","2,926","10,569","5,935","1,533","3,828","1,984"
2019,Dec,WA,"24,947","15,378",854,"9,805","2,382","10,792","9,344",450,"7,377","2,012"
2019,Dec,TAS,"6,665","7,438",394,792,231,"2,611","5,052",224,664,206
2019,Dec,NT,"1,871","1,256",120,355,63,674,935,45,262,48
2019,Dec,ACT,"13,351","3,089",527,"1,101",781,"5,041","2,024",126,733,505
2019,Dec Total,,"440,816","281,378","25,466","156,496","48,219","177,137","168,410","11,874","117,310","35,732"
2019 Total,,,"4,606,315","2,539,647","274,554","1,249,209","433,219","1,442,167","1,184,031","111,450","778,977","283,375"
2020,Jan,NSW,"105,650","67,869","4,295","18,218","7,632","1,707","8,789","1,724","4,334","1,506"
2020,Jan,VIC,"98,559","47,593","6,772","15,229","3,616",994,"6,194","1,244","3,095",648
2020,Jan,QLD,"35,541","23,962","4,014","10,757","1,947",584,"3,371","2,017","2,707",630
2020,Jan,SA,"15,968","5,772","2,076","1,645","1,071",208,815,859,333,65
2020,Jan,WA,"16,164","7,978",475,"3,204",451,187,"1,212",82,793,109
2020,Jan,TAS,"4,407","4,821",129,160,22,23,600,6,64,1
2020,Jan,NT,"1,389","1,136",92,122,22,1,360,20,16,4
2020,Jan,ACT,"8,384","1,585",281,128,113,75,83,8,28,2
